Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
ADM,"Archer Daniels Midland",61.37,-0.57,-0.92%,61.52,62.18,61.08,2102982,2025-10-28
BF.B,"Brown Forman Inc Cl B",28.22,-0.28,-0.98%,28.32,28.68,28.08,3259670,2025-10-28
BG,"Bunge Ltd",96.37,-0.05,-0.05%,95.78,97.18,95.41,1190124,2025-10-28
CAG,"Conagra Brands Inc",18.08,-0.42,-2.27%,18.39,18.41,18.05,14589507,2025-10-28
CHD,"Church & Dwight Company",84.26,-1.38,-1.61%,85.4,85.69,84.25,1894956,2025-10-28
CL,"Colgate-Palmolive Company",77.14,-0.69,-0.89%,77.47,77.79,76.77,6413500,2025-10-28
CLX,"Clorox Company",115.22,-0.28,-0.24%,115.22,116.83,114.55,1424695,2025-10-28
COST,"Costco Wholesale",924.16,-5.69,-0.61%,926.87,930.72,920.2,2084637,"16:29 ET"
CPB,"The Campbell's Company",30.94,-0.45,-1.43%,31.25,31.47,30.85,4760244,"16:25 ET"
DG,"Dollar General Corp",101.92,-0.85,-0.83%,102.05,103.27,100.88,2007219,2025-10-28
DLTR,"Dollar Tree Inc",102.7,0.11,+0.11%,102.42,104.49,100.14,4327056,"16:25 ET"
EL,"Estee Lauder Companies",98.76,-1.7,-1.69%,100.03,100.35,97.99,2433072,2025-10-28
GIS,"General Mills",48.05,-0.24,-0.50%,47.99,48.52,47.84,6615539,2025-10-28
HRL,"Hormel Foods Corp",23.65,-0.09,-0.38%,23.64,23.89,23.52,3327911,2025-10-28
HSY,"Hershey Foods Corp",180.25,-1.2,-0.66%,179.66,182.35,179.41,1758436,2025-10-28
K,Kellanova,83.09,-0.03,-0.04%,83.06,83.12,83.06,1670865,2025-10-28
KDP,"Keurig Dr Pepper Inc",28.85,-0.38,-1.30%,29.02,29.1,28.36,26848055,"16:29 ET"
KHC,"Kraft Heinz Company",25.52,-0.07,-0.27%,25.49,25.67,25.31,16162162,"16:27 ET"
KMB,"Kimberly-Clark Corp",120.66,0.04,+0.03%,120.13,121.99,119.58,3290140,"16:25 ET"
KO,"Coca-Cola Company",70.16,0.1,+0.14%,70.04,70.9,69.95,12709167,2025-10-28
KR,"Kroger Company",67.69,-0.34,-0.50%,67.74,68.23,67.38,4365991,2025-10-28
KVUE,"Kenvue Inc",14.51,-0.57,-3.78%,14.9,14.93,14.43,29867979,2025-10-28
LW,"Lamb Weston Holdings Inc",65.57,-1.,-1.50%,66.45,66.56,65.16,1058669,2025-10-28
MDLZ,"Mondelez Intl Inc",60.21,-1.45,-2.35%,61.6,62.43,60.21,14833558,"16:29 ET"
MKC,"Mccormick & Company",66.01,-1.12,-1.67%,66.7,66.77,65.89,2613197,2025-10-28
MNST,"Monster Beverage Corp",69.32,-0.36,-0.52%,69.16,69.54,68.47,3471292,"16:26 ET"
MO,"Altria Group",63.28,-0.46,-0.72%,63.7,63.98,63.21,5950831,2025-10-28
PEP,"Pepsico Inc",150.12,-2.51,-1.64%,151.41,153.21,149.92,5588652,"16:29 ET"
PG,"Procter & Gamble Company",151.37,-0.37,-0.24%,151.12,153.16,150.62,5810956,2025-10-28
PM,"Philip Morris International Inc",149.81,-3.4,-2.22%,153,153.08,148.14,7723415,2025-10-28
SJM,"J.M. Smucker Company",104.84,0.07,+0.07%,104.38,105.58,104.18,1698027,2025-10-28
STZ,"Constellation Brands Inc",134.19,-3.77,-2.73%,137.21,137.25,134.16,2375571,2025-10-28
SYY,"Sysco Corp",75.89,-2.11,-2.71%,77,77.7,75,5510776,2025-10-28
TAP,"Molson Coors Brewing Company",45.23,-0.04,-0.09%,45.05,45.56,44.85,1992496,2025-10-28
TGT,"Target Corp",97.11,-0.66,-0.68%,97.52,99.49,96.41,7941434,2025-10-28
TSN,"Tyson Foods",52.14,0.05,+0.10%,51.91,52.64,51.53,2378048,2025-10-28
WMT,"Walmart Inc",103.17,-1.3,-1.24%,104.06,104.14,103.05,13259912,2025-10-28
"Downloaded from Barchart.com as of 10-28-2025 04:50pm CDT"
