Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
APA,"Apa Corp",22.73,-0.61,-2.61%,23.18,23.18,22.22,9006470,"16:27 ET"
BKR,"Baker Hughes Company",47.86,1.26,+2.70%,46.39,47.98,46.39,9166059,"16:27 ET"
COP,Conocophillips,86.79,-1.9,-2.14%,88.3,88.36,86.69,5226891,2025-10-28
CTRA,"Coterra Energy Inc",23.38,-0.29,-1.23%,23.54,23.63,23.32,7600397,2025-10-28
CVX,"Chevron Corp",154.13,-1.15,-0.74%,154.9,156.23,153.89,4978044,2025-10-28
DVN,"Devon Energy Corp",32.01,-0.92,-2.79%,32.73,32.78,32,6401003,2025-10-28
EOG,"Eog Resources",105.9,-0.88,-0.82%,106.76,106.79,105.63,3063354,2025-10-28
EQT,"Eqt Corp",52.18,-1.57,-2.92%,53.51,53.51,52.05,4089935,2025-10-28
EXE,"Expand Energy Corporation",101,-2.88,-2.77%,103.88,103.88,100.82,3333544,"16:29 ET"
FANG,"Diamondback Energy",141.14,-3.26,-2.26%,143.64,143.95,140.41,1139736,"16:28 ET"
HAL,"Halliburton Company",26.62,-0.18,-0.67%,26.76,26.95,26.44,8271709,2025-10-28
KMI,"Kinder Morgan Inc",26.08,-0.07,-0.27%,26.17,26.17,25.82,16946795,2025-10-28
MPC,"Marathon Petroleum Corp",192.21,-4.02,-2.05%,194.63,196.14,191.95,1169121,2025-10-28
OKE,"Oneok Inc",69.1,-0.19,-0.27%,69.08,69.35,68.05,4571190,2025-10-28
OXY,"Occidental Petroleum Corp",40.83,-1.47,-3.48%,42,42.11,40.81,13243003,2025-10-28
PSX,"Phillips 66",133.66,-1.76,-1.30%,134.07,135.74,133.66,2361055,2025-10-28
SLB,"Slb Limited",35.86,-0.3,-0.83%,36.18,36.33,35.69,12498075,2025-10-28
TPL,"Texas Pacific Land Trust",915.01,-14.39,-1.55%,927,929.63,913.06,78197,2025-10-28
TRGP,"Targa Resources",152.54,-1.44,-0.94%,152.95,153.57,150.3,978808,2025-10-28
VLO,"Valero Energy Corp",169.34,-5.01,-2.87%,172.96,173.16,169.3,1705765,2025-10-28
WMB,"Williams Companies",57.59,-0.08,-0.14%,57.5,57.9,56.95,6876319,2025-10-28
XOM,"Exxon Mobil Corp",115.03,-0.91,-0.78%,115.49,116.18,114.99,9516901,2025-10-28
"Downloaded from Barchart.com as of 10-28-2025 04:50pm CDT"
