Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
ACGL,"Arch Capital Grp Ltd",84.72,-1.22,-1.42%,87.04,87.04,82.44,3720745,"16:24 ET"
AFL,"Aflac Inc",106.68,-0.87,-0.81%,106.86,107.36,106.18,1589680,2025-10-28
AIG,"American International Group",78.39,-0.92,-1.16%,79.16,79.25,78.05,2570853,2025-10-28
AIZ,"Assurant Inc",207.89,-4.3,-2.03%,211.5,211.69,207.76,213755,2025-10-28
AJG,"Arthur J. Gallagher & Company",267.5,-11.5,-4.12%,277.24,279,266.71,2838594,2025-10-28
ALL,"Allstate Corp",190.85,-2.35,-1.22%,192.37,193.07,190.15,880088,2025-10-28
AMP,"Ameriprise Financial Services",484.54,-0.09,-0.02%,483.41,487.66,480.19,429641,2025-10-28
AON,"AON Plc",329.96,-6.91,-2.05%,335.21,335.21,329,1212741,2025-10-28
APO,"Apollo Asset Management Inc",124.47,-1.9,-1.50%,126.5,126.79,124.23,1998945,2025-10-28
AXP,"American Express Company",361.03,-0.64,-0.18%,361.22,362.53,359.44,1414209,2025-10-28
BAC,"Bank of America Corp",52.87,-0.15,-0.28%,53,53.28,52.34,29489828,2025-10-28
BEN,"Franklin Resources",23.32,-0.06,-0.26%,23.46,23.47,23.18,2577228,2025-10-28
BK,"Bank of New York Mellon Corp",108.45,0.87,+0.81%,107.98,108.92,107.47,3162206,2025-10-28
BLK,"Blackrock Inc",1124.95,-6.36,-0.56%,1131.97,1138.65,1124.54,375489,2025-10-28
BRK.B,"Berkshire Hathaway Cl B",481.44,-6.63,-1.36%,484.96,485.67,481.11,4969889,2025-10-28
BRO,"Brown & Brown",82.38,-5.38,-6.13%,86.75,86.75,81.39,7393082,2025-10-28
BX,"Blackstone Inc",151.69,-2.16,-1.40%,153.81,153.97,151.04,3645098,2025-10-28
C,"Citigroup Inc",101.39,0.4,+0.40%,101,101.53,100.13,8742354,2025-10-28
CB,"Chubb Ltd",275.58,-6.1,-2.17%,280.76,280.76,275.07,2175884,2025-10-28
CBOE,"CBOE Global Markets Inc",238.53,0.26,+0.11%,238.01,240.79,237.63,613801,2025-10-28
CFG,"Citizens Financial Group Inc/Ri",51.33,-0.58,-1.12%,51.83,51.83,51.06,3824460,2025-10-28
CINF,"Cincinnati Financial",151.75,-5.89,-3.74%,157.1,157.1,151.51,970687,"16:27 ET"
CME,"CME Group Inc",266.33,-4.76,-1.76%,271.52,273.39,265.95,1722231,"16:24 ET"
COF,"Capital One Financial Corp",220.99,-2.5,-1.12%,223.19,223.77,219.81,2947943,2025-10-28
COIN,"Coinbase Global Inc Cl A",355.22,-6.21,-1.72%,363.23,368.13,354.07,6455889,"16:29 ET"
CPAY,"Corpay Inc",285.59,1.35,+0.47%,285,288.3,282.76,339033,2025-10-28
EG,"Everest Re Group",304.91,-39.07,-11.36%,325.1,325.1,302.44,1557538,2025-10-28
ERIE,"Erie Indemnity Company",320.34,-9.63,-2.92%,329.97,330.33,320.34,220233,"16:27 ET"
FDS,"Factset Research Systems Inc",288.4,-1.93,-0.66%,290,293.85,287.03,601420,2025-10-28
FI,"Fiserv Inc",126.17,-0.37,-0.29%,126.73,128.78,125.8,5785030,2025-10-28
FIS,"Fidelity National Information Services",65.93,-0.6,-0.90%,66.29,66.83,65.72,3878645,2025-10-28
FITB,"Fifth Third Bancorp",42.28,-0.17,-0.41%,42.45,42.5,42.01,4554775,"16:28 ET"
GL,"Globe Life Inc",134.37,-0.62,-0.46%,134.51,135.12,133.89,523396,2025-10-28
