Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
A,"Agilent Technologies",145.85,-0.74,-0.50%,145.74,147.27,144.63,1470061,2025-10-28
ABBV,"Abbvie Inc",227.54,-0.49,-0.21%,227,228.4,224.31,3723364,2025-10-28
ABT,"Abbott Laboratories",126.61,-0.57,-0.45%,126.97,128.45,126.19,4720833,2025-10-28
ALGN,"Align Technology",133.14,-2.51,-1.85%,134.94,135.6,132.79,873424,2025-10-28
AMGN,"Amgen Inc",292.09,0.93,+0.32%,288.93,292.63,288.26,2159373,2025-10-28
BAX,"Baxter International Inc",22.86,-0.31,-1.34%,23.04,23.21,22.77,5712319,2025-10-28
BDX,"Becton Dickinson and Company",184.21,-2.83,-1.51%,187.1,187.1,184.16,1326456,2025-10-28
BIIB,"Biogen Inc",149.13,-1.3,-0.86%,150.01,150.3,148.37,1662713,2025-10-28
BMY,"Bristol-Myers Squibb Company",42.82,-0.57,-1.31%,43.39,43.39,42.75,17938197,2025-10-28
BSX,"Boston Scientific Corp",100.97,-1.46,-1.43%,102.31,102.86,100.92,5611979,2025-10-28
CAH,"Cardinal Health",162.79,-1.01,-0.62%,163.5,164.07,161.97,2067490,2025-10-28
CI,"The Cigna Group",308.41,-0.77,-0.25%,309.63,311.34,306.23,1145257,2025-10-28
CNC,"Centene Corp",33.19,0.04,+0.12%,33.74,33.74,32.87,13970316,2025-10-28
COO,"Cooper Companies",71.75,-1.1,-1.51%,72.55,72.82,71.47,1512603,2025-10-28
COR,"Cencora Inc",335.64,-0.41,-0.12%,335.54,337.82,332.53,1165959,2025-10-28
CRL,"Charles River Laboratories Intl",187.93,-7.35,-3.76%,193.45,193.46,187.03,1102933,2025-10-28
CVS,"CVS Corp",82.2,-0.25,-0.30%,83.74,83.74,81.61,9793302,2025-10-28
DGX,"Quest Diagnostics Inc",178.28,-1.98,-1.10%,179.8,180.63,177.17,1434032,2025-10-28
DHR,"Danaher Corp",216.9,-4.11,-1.86%,220.57,221.63,216.23,2251495,2025-10-28
