Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
ADP,"Automatic Data Processing",279.63,-0.9,-0.32%,280,282.93,279.31,2350235,2025-10-28
ALLE,"Allegion Plc",169.08,-1.86,-1.09%,170.96,171.47,168.83,771350,2025-10-28
AME,"Ametek Inc",185.1,-1.65,-0.88%,186.73,186.99,184.06,1595609,2025-10-28
AOS,"Smith A.O. Corp",66.84,-1.77,-2.58%,68.27,69.65,65.5,3248703,2025-10-28
AXON,"Axon Enterprise Inc",755,6,+0.80%,746.12,764.02,745,565912,2025-10-28
BA,"Boeing Company",223.33,0.33,+0.15%,224.36,225.56,222.6,6940469,2025-10-28
BLDR,"Builders Firstsource",119.35,-3.84,-3.12%,120.27,121.69,118.13,1690602,2025-10-28
BR,"Broadridge Financial Solutions Llc",229.8,-2.12,-0.91%,230.76,231.92,229.11,408169,2025-10-28
CARR,"Carrier Global Corp",58.74,0.45,+0.77%,60,60.56,58.44,9612256,2025-10-28
CAT,"Caterpillar Inc",524.47,-2.6,-0.49%,525.96,530.29,521.67,2769676,2025-10-28
CHRW,"C.H. Robinson Ww",128.07,-0.99,-0.77%,129.87,130.07,127.36,1476806,2025-10-28
CMI,"Cummins Inc",414.3,-6.76,-1.61%,421.28,422.65,413.98,660929,2025-10-28
CPRT,"Copart Inc",44.07,-0.09,-0.20%,44,44.34,43.71,4245963,2025-10-28
CSX,"CSX Corp",35.68,-0.32,-0.89%,35.94,35.98,35.37,9640613,2025-10-28
CTAS,"Cintas Corp",189.89,1.21,+0.64%,188.11,190.61,187.16,1812637,2025-10-28
DAL,"Delta Air Lines Inc",57.86,-2.59,-4.28%,60.33,60.42,57.74,8489959,2025-10-28
DAY,"Dayforce Inc",68.4,-0.05,-0.07%,68.5,68.5,68.39,2195329,2025-10-28
DE,"Deere & Company",468.19,-9.91,-2.07%,475.45,476.5,467.88,1064702,2025-10-28
DOV,"Dover Corp",179.71,1.75,+0.98%,178.44,179.92,177.3,1124975,2025-10-28
EFX,"Equifax Inc",224.16,-4.86,-2.12%,227.61,228.6,223.98,983832,2025-10-28
