Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
ALB,"Albemarle Corp",96.68,0.45,+0.47%,97,97.15,94.77,2506632,2025-10-28
AMCR,"Amcor Plc",8.35,0.08,+0.97%,8.27,8.41,8.23,34916820,2025-10-28
APD,"Air Products and Chemicals",254.43,-1.33,-0.52%,255.75,256.94,253.81,996572,2025-10-28
AVY,"Avery Dennison Corp",179.17,-1.3,-0.72%,182.01,182.14,179.02,502051,2025-10-28
BALL,"Ball Corporation",49.09,-0.76,-1.52%,49.76,49.88,49.04,1914249,2025-10-28
CF,"Cf Industries Holdings",86.1,-0.29,-0.34%,85.79,87.14,85.6,1467608,2025-10-28
CTVA,"Corteva Inc",63.46,-0.47,-0.74%,63.76,63.89,63.19,2821216,2025-10-28
DD,"Dupont Denemours Inc",81.9,0.52,+0.64%,81.45,83.17,81.18,3780747,2025-10-28
DOW,"Dow Inc",25.38,-0.35,-1.36%,25.52,25.54,24.79,11764271,2025-10-28
ECL,"Ecolab Inc",268.28,-11.43,-4.09%,276.9,279.75,265.16,2255297,2025-10-28
EMN,"Eastman Chemical Company",63.36,-0.42,-0.66%,63.5,63.99,62.71,1997990,2025-10-28
FCX,"Freeport-Mcmoran Inc",41.17,0.07,+0.17%,40.59,41.95,40.5,11381867,2025-10-28
IFF,"International Flavors & Fragrances",64.88,-0.41,-0.63%,65.04,65.49,64.48,2033072,2025-10-28
IP,"International Paper Company",47.13,-1.06,-2.20%,48.05,48.19,47.01,4434775,2025-10-28
LIN,"Linde Plc",442.72,-2.1,-0.47%,445.46,447.22,441.99,2069792,"16:28 ET"
LYB,"Lyondellbasell Industries NV",47.61,-1.48,-3.01%,48.6,48.75,47.05,3579633,2025-10-28
MLM,"Martin Marietta Materials",616.84,0,0.00%,613.6,619.97,612.49,293331,2025-10-28
MOS,"Mosaic Company",29.38,-0.18,-0.61%,29.27,29.7,29.08,3011335,2025-10-28
NEM,"Newmont Mining Corp",79.34,0.71,+0.90%,76.74,79.86,76.05,13292805,2025-10-28
NUE,"Nucor Corp",151.99,7.83,+5.43%,146.22,154.78,145.68,3388019,2025-10-28
PKG,"Packaging Corp of America",206.16,-0.45,-0.22%,205.88,208.61,205.26,467978,2025-10-28
PPG,"PPG Industries",105.31,-0.14,-0.13%,106.09,106.71,104.95,2950692,2025-10-28
SHW,"Sherwin-Williams Company",354.45,18.37,+5.47%,356.42,368.61,345.97,5341865,2025-10-28
STLD,"Steel Dynamics Inc",161.07,3.05,+1.93%,158.02,163.1,157.84,1532626,"16:23 ET"
SW,"Smurfit Westrock Plc",43.09,-0.31,-0.71%,43.28,43.28,42.66,3127286,2025-10-28
VMC,"Vulcan Materials Company",292.59,0.58,+0.20%,290.95,293.89,290.51,722971,2025-10-28
"Downloaded from Barchart.com as of 10-28-2025 04:51pm CDT"
